Date	Category	Non-Capital	Capital	% Business Use	Business Cost	Nett GST	GST Paid	Notes
22 Nov 2023	54 PINES ROAD EXPENSES	$35.01	-	100%	$35.01	$31.83	$3.18	SUNSHINE MITRE 10 COOROY
23 Nov 2023	54 PINES ROAD EXPENSES	$67.31	-	100%	$67.31	$61.19	$6.12	New footer valve for dam
27 Nov 2023	54 PINES ROAD EXPENSES	$90.00	-	100%	$90.00	$81.82	$8.18	New parts for mounting wall hung toilet
05 Jul 2023	54 PINES ROAD EXPENSES	$28.90	-	100%	$28.90	$26.27	$2.63	Wild bid nix
06 Mar 2024	54 PINES ROAD EXPENSES	$80.00	-	100%	$80.00	$72.73	$7.27	SEQ waste water management
02 Oct 2023	54 PINES ROAD EXPENSES	$71.40	-	100%	$71.40	$64.91	$6.49	BUNNINGS 335000 NOOSAVILLE
03 Oct 2023	54 PINES ROAD EXPENSES	$50.35	-	100%	$50.35	$45.77	$4.58	SUNSHINE MITRE 10 COOROY
14 Mar 2024	54 PINES ROAD EXPENSES	$313.50	-	100%	$313.50	$285.00	$28.50	Replacement dimmer switch bench lights
05 Oct 2023	54 PINES ROAD EXPENSES	$220.00	-	100%	$220.00	$200.00	$20.00	Pacific electrical contractors - replacement of faulty power outlets
05 Oct 2023	54 PINES ROAD EXPENSES	$154.00	-	100%	$154.00	$140.00	$14.00	BILLABONG POOL SERVICE NOOSAVILLE
30 Nov 2023	54 PINES ROAD EXPENSES	$34.90	-	100%	$34.90	$31.73	$3.17	Kill rust gloss enamel paint
15 Mar 2024	54 PINES ROAD EXPENSES	$241.00	-	100%	$241.00	$219.09	$21.91	Replace TV satellite dish dual LNBF
15 Mar 2024	54 PINES ROAD EXPENSES	$242.00	-	100%	$242.00	$220.00	$22.00	Signal Solutions - repair of TV satellite dish connection
16 Jul 2023	54 PINES ROAD EXPENSES	$18.99	-	100%	$18.99	$17.26	$1.73	BUNNINGS WAREHOUSE 8027 NOOSAVILLE
27 Mar 2024	54 PINES ROAD EXPENSES	$124.20	-	100%	$124.20	$112.91	$11.29	2 Terabyte hard drive for backup of Pamelas laptop
12 Oct 2023	54 PINES ROAD EXPENSES	$23.45	-	100%	$23.45	$21.32	$2.13	Light globes
21 Jul 2023	54 PINES ROAD EXPENSES	$604.20	-	100%	$604.20	$549.27	$54.93	Origin Energy
28 Mar 2024	54 PINES ROAD EXPENSES	$79.54	-	100%	$79.54	$72.31	$7.23	BUNNINGS WAREHOUSE 8027 NOOSAVILLE
